"sucursal	articulo	cantidad	total"
"san telmo	Ciabatta                                                                                                                	25	31250"
"san telmo	Ciabatta                                                                                                                	7	9800"
"san telmo	COOKIE                                                                                                                  	6	12600"
"san telmo	COOKIE                                                                                                                  	6	12600"
"san telmo	COOKIE                                                                                                                  	6	12600"
"san telmo	COOKIE                                                                                                                  	8	16800"
"san telmo	COOKIE                                                                                                                  	3	6300"
"san telmo	cookie pistacho                                                                                                         	3	7050"
"san telmo	cookie pistacho                                                                                                         	2	4700"
"san telmo	cookie pistacho                                                                                                         	4	9400"
"san telmo	cookie pistacho                                                                                                         	5	11750"
"san telmo	CROISSANT                                                                                                               	109	190750"
"san telmo	CROISSANT                                                                                                               	109	190750"
"san telmo	CROISSANT                                                                                                               	119	208250"
"san telmo	CROISSANT                                                                                                               	121	211750"
"san telmo	CROISSANT                                                                                                               	42	88200"
"san telmo	croissant DDL                                                                                                           	7	16800"
"san telmo	croissant DDL                                                                                                           	7	16800"
"san telmo	croissant DDL                                                                                                           	7	16800"
"san telmo	croissant DDL                                                                                                           	6	14400"
"san telmo	croissant DDL                                                                                                           	3	7200"
"san telmo	CROISSANT DE ALMENDRAS                                                                                                  	21	56700"
"san telmo	CROISSANT DE ALMENDRAS                                                                                                  	21	56700"
"san telmo	CROISSANT DE ALMENDRAS                                                                                                  	21	56700"
"san telmo	CROISSANT DE ALMENDRAS                                                                                                  	18	48600"
"san telmo	CROISSANT DE ALMENDRAS                                                                                                  	9	26550"
"san telmo	CROISSANT DE PISTACHOS                                                                                                  	18	53100"
"san telmo	CROISSANT DE PISTACHOS                                                                                                  	21	61950"
"san telmo	CROISSANT DE PISTACHOS                                                                                                  	21	61950"
"san telmo	CROISSANT DE PISTACHOS                                                                                                  	17	50150"
"san telmo	CROISSANT DE PISTACHOS                                                                                                  	8	27600"
"san telmo	croissant frutos rojos                                                                                                  	6	16200"
"san telmo	croissant frutos rojos                                                                                                  	3	8100"
"san telmo	croissant frutos rojos                                                                                                  	2	5400"
"san telmo	Croissant nutela                                                                                                       	21	56700"
"san telmo	Croissant nutela                                                                                                       	21	56700"
"san telmo	Croissant nutela                                                                                                       	21	56700"
"san telmo	Croissant nutela                                                                                                       	18	48600"
"san telmo	Croissant nutela                                                                                                       	9	31050"
"san telmo	croissant Pastelera                                                                                                     	6	14400"
"san telmo	croissant Pastelera                                                                                                     	7	16800"
"san telmo	croissant Pastelera                                                                                                     	7	16800"
"san telmo	croissant Pastelera                                                                                                     	6	14400"
"san telmo	croissant Pastelera                                                                                                     	3	7200"
"san telmo	CRUMBLE DE MANZANA                                                                                                    	4	13800"
"san telmo	CRUMBLE DE MANZANA                                                                                                    	5	17250"
"san telmo	CRUMBLE DE MANZANA                                                                                                    	3	10350"
"san telmo	CRUMBLE DE MANZANA                                                                                                    	4	13800"
"san telmo	Danesa                                                                                                                  	6	14700"
"san telmo	Danesa                                                                                                                  	3	7350"
"san telmo	Danesa                                                                                                                  	6	14700"
"san telmo	Danesa                                                                                                                  	6	14700"
"san telmo	ECLAIR DE CHOCOLATE                                                                                                     	3	9600"
"san telmo	ECLAIR DE CHOCOLATE                                                                                                     	3	9600"
"san telmo	ECLAIR DE CHOCOLATE                                                                                                     	3	9600"
"san telmo	ECLAIR DE CHOCOLATE                                                                                                     	7	22400"
"san telmo	ECLAIR DE CHOCOLATE                                                                                                     	3	9600"
"san telmo	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	3	8850"
"san telmo	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	3	8850"
"san telmo	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	4	11800"
"san telmo	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	4	11800"
"san telmo	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	2	5900"
"san telmo	ECLAIR DE PISTACHO                                                                                                      	4	13800"
"san telmo	ECLAIR DE PISTACHO                                                                                                      	5	17250"
"san telmo	ECLAIR DE PISTACHO                                                                                                      	3	10350"
"san telmo	ECLAIR DE PISTACHO                                                                                                      	6	20700"
"san telmo	ECLAIR DE PISTACHO                                                                                                      	3	10350"
"san telmo	empanada blanquette                                                                                                             	6	10500"
"san telmo	empanadas bourguignon                                                                                                   	6	10500"
"san telmo	empanadas parisien                                                                                         	6	10500"
"san telmo	empanadas ratatouille                                                                                                   	12	21000"
"san telmo	Gougere                                                                                                                 	10	19500"
"san telmo	Gougere                                                                                                                 	8	15600"
"san telmo	Gougere                                                                                                                 	14	27300"
"san telmo	Gougere                                                                                                                 	9	17550"
"san telmo	Gougere                                                                                                                 	2	3900"
"san telmo	INTEGRAL 1KG                                                                                                            	26	89700"
"san telmo	INTEGRAL 1KG                                                                                                            	27	93150"
"san telmo	INTEGRAL 1KG                                                                                                            	25	86250"
"san telmo	INTEGRAL 1KG                                                                                                            	22	75900"
"san telmo	INTEGRAL 1KG                                                                                                            	11	39600"
"san telmo	INTEGRAL 500GR                                                                                                          	7	18900"
"san telmo	INTEGRAL 500GR                                                                                                          	7	18900"
"san telmo	INTEGRAL 500GR                                                                                                          	7	18900"
"san telmo	INTEGRAL 500GR                                                                                                          	6	16200"
"san telmo	INTEGRAL 500GR                                                                                                          	3	8850"
"san telmo	KOUIGN AMANN                                                                                                            	6	11700"
"san telmo	KOUIGN AMANN                                                                                                            	6	11700"
"san telmo	KOUIGN AMANN                                                                                                            	7	13650"
"san telmo	KOUIGN AMANN                                                                                                            	6	11700"
"san telmo	KOUIGN AMANN                                                                                                            	3	5850"
"san telmo	lemon croissant                                                                                                         	6	16200"
"san telmo	lemon croissant                                                                                                         	3	8100"
"san telmo	lemon croissant                                                                                                         	5	13500"
"san telmo	LEMON PIE INDIVIDUAL                                                                                                    	3	10350"
"san telmo	LEMON PIE INDIVIDUAL                                                                                                    	4	13800"
"san telmo	LEMON PIE INDIVIDUAL                                                                                                    	3	10350"
"san telmo	LEMON PIE INDIVIDUAL                                                                                                    	7	24150"
"san telmo	Marquise ch sinTACC                                                                                                     	1	3450"
"san telmo	Marquise ch sinTACC                                                                                                     	1	3450"
"san telmo	Marquise ch sinTACC                                                                                                     	1	3450"
"san telmo	Marquise ch sinTACC                                                                                                     	2	6900"
"san telmo	medialuna grasa                                                                                                        	42	44100"
"san telmo	medialuna grasa                                                                                                        	42	44100"
"san telmo	medialuna grasa                                                                                                        	42	44100"
"san telmo	medialuna grasa                                                                                                        	38	39900"
"san telmo	medialuna grasa                                                                                                        	12	12600"
"san telmo	medialuna manteca                                                                                                             	300	315000"
"san telmo	medialuna manteca                                                                                                             	300	315000"
"san telmo	medialuna manteca                                                                                                             	305	320250"
"san telmo	medialuna manteca                                                                                                             	277	290850"
"san telmo	medialuna manteca                                                                                                             	112	134400"
"san telmo	moño de frutos rojos                                                                                                    	21	56700"
"san telmo	moño de frutos rojos                                                                                                    	21	56700"
"san telmo	moño de frutos rojos                                                                                                    	21	56700"
"san telmo	moño de frutos rojos                                                                                                    	15	40500"
"san telmo	moño de frutos rojos                                                                                                    	8	23600"
"san telmo	PALITO PARMIGIANO                                               	7	18900"
"san telmo	PALITO PARMIGIANO                                               	7	18900"
"san telmo	PALITO PARMIGIANO                                               	7	18900"
"san telmo	PALITO PARMIGIANO                                               	6	16200"
"san telmo	PALITO PARMIGIANO                                               	3	8100"
"san telmo	PAN DE CHOCOLATE                                                                                                        	21	56700"
"san telmo	PAN DE CHOCOLATE                                                                                                        	21	56700"
"san telmo	PAN DE CHOCOLATE                                                                                                        	21	56700"
"san telmo	PAN DE CHOCOLATE                                                                                                        	18	48600"
"san telmo	PAN DE CHOCOLATE                                                                                                        	9	24300"
"san telmo	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	4	11800"
"san telmo	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	1	2950"
"san telmo	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	6	17700"
"san telmo	PAN DULCE 500G	3	36000"
"san telmo	PAN DULCE 500G	8	96000"
"san telmo	PAN DULCE 500G	1	12000"
"san telmo	PAN LACTAL 1 K                                                                                                          	8	30000"
"san telmo	PAN LACTAL 1 K                                                                                                          	8	30000"
"san telmo	PAN LACTAL 1 K                                                                                                          	8	30000"
"san telmo	PAN LACTAL 1 K                                                                                                          	8	30000"
"san telmo	PAN LACTAL 1 K                                                                                                          	5	18750"
"san telmo	PAN LACTAL DE SEMILLAS 1 K                                                                                              	3	14700"
"san telmo	PAN LACTAL DE SEMILLAS 1 K                                                                                              	4	19600"
"san telmo	PAN LACTAL DE SEMILLAS 1 K                                                                                              	3	14700"
"san telmo	PAN LACTAL DE SEMILLAS 1 K                                                                                              	4	19600"
"san telmo	PAN LACTAL DE SEMILLAS 1 K                                                                                              	3	14700"
"san telmo	pan suizo                                                                                                               	7	18900"
"san telmo	pan suizo                                                                                                               	7	18900"
"san telmo	pan suizo                                                                                                               	8	21600"
"san telmo	pan suizo                                                                                                               	7	18900"
"san telmo	pan suizo                                                                                                               	4	10800"
"san telmo	Pan suizo J & Q                                                                                                         	7	20300"
"san telmo	Pan suizo J & Q                                                                                                         	7	20650"
"san telmo	Pan suizo J & Q                                                                                                         	7	20650"
"san telmo	Pan suizo J & Q                                                                                                         	7	20650"
"san telmo	Pan suizo J & Q                                                                                                         	2	5900"
"san telmo	Pan suizo ROQUEFORT                                                                                                     	7	20650"
"san telmo	Pan suizo ROQUEFORT                                                                                                     	7	20650"
"san telmo	Pan suizo ROQUEFORT                                                                                                     	7	20650"
"san telmo	Pan suizo ROQUEFORT                                                                                                     	7	20650"
"san telmo	Pan suizo ROQUEFORT                                                                                                     	4	11800"
"san telmo	pan vianez baguetin                                                                                                     	19	33250"
"san telmo	pan vianez baguetin                                                                                                     	18	31500"
"san telmo	pan vianez baguetin                                                                                                     	7	12250"
"san telmo	pan vianez baguetin                                                                                                     	6	10500"
"san telmo	pan vianez baguetin                                                                                                     	3	5250"
"san telmo	PAVLOVA  FRUTAL 	1	14500"
"san telmo	PAVLOVA  FRUTAL 	2	29000"
"san telmo	PAVLOVA  FRUTAL 	1	14500"
"san telmo	PETIT FOUR                                                                                                              	5	17250"
"san telmo	PETIT FOUR                                                                                                              	4	13800"
"san telmo	PETIT FOUR                                                                                                              	2	6900"
"san telmo	ROLL DE CANELA                                                                                                          	20	49000"
"san telmo	ROLL DE CANELA                                                                                                          	20	49000"
"san telmo	ROLL DE CANELA                                                                                                          	12	29400"
"san telmo	ROLL DE CANELA                                                                                                          	8	19600"
"san telmo	ROLL DE CANELA                                                                                                          	5	13750"
"san telmo	ROSCA PARIS BREST GRANDE 	1	14500"
"san telmo	Scon de queso                                                                                                           	8	15600"
"san telmo	Scon de queso                                                                                                           	7	13650"
"san telmo	Scon de queso                                                                                                           	11	21450"
"san telmo	Scon de queso                                                                                                           	8	15600"
"san telmo	Scon de queso                                                                                                           	2	3900"
"san telmo	SEMILLAS 500GR                                                                                                          	7	20650"
"san telmo	SEMILLAS 500GR                                                                                                          	7	20650"
"san telmo	SEMILLAS 500GR                                                                                                          	7	20650"
"san telmo	SEMILLAS 500GR                                                                                                          	6	17700"
"san telmo	SEMILLAS 500GR                                                                                                          	3	9600"
"san telmo	SEMILLAS BAGUETTE 330G                                                                                                  	5	8750"
"san telmo	SEMILLAS BAGUETTE 330G                                                                                                  	6	10500"
"san telmo	SEMILLAS BAGUETTE 330G                                                                                                  	3	5250"
"san telmo	SEMILLAS BAGUETTE 330G                                                                                                  	5	8750"
"san telmo	SEMILLAS BAGUETTE 330G                                                                                                  	3	5400"
"san telmo	TARTA FRUTAS ESTACION	2	6900"
"san telmo	TRADITION 1KG                                                                                                           	30	96000"
"san telmo	TRADITION 1KG                                                                                                           	32	102400"
"san telmo	TRADITION 1KG                                                                                                           	33	105600"
"san telmo	TRADITION 1KG                                                                                                           	25	80000"
"san telmo	TRADITION 1KG                                                                                                           	13	44850"
"san telmo	TRADITION 500GR                                                                                                         	5	12250"
"san telmo	TRADITION 500GR                                                                                                         	4	9800"
"san telmo	TRADITION 500GR                                                                                                         	7	17150"
"san telmo	TRADITION 500GR                                                                                                         	6	14700"
"san telmo	TRADITION 500GR                                                                                                         	3	8100"
"san telmo	TRADITION BAGUETTE 330G                                                                                                 	14	21000"
"san telmo	TRADITION BAGUETTE 330G                                                                                                 	14	21000"
"san telmo	TRADITION BAGUETTE 330G                                                                                                 	14	21000"
"san telmo	TRADITION BAGUETTE 330G                                                                                                 	9	13500"
"san telmo	TRADITION BAGUETTE 330G                                                                                                 	6	9900"
"callao	Bondiola  empanadas                                                                                                     	12	21000"
"callao	Bondiola  empanadas                                                                                                     	12	21000"
"callao	Bondiola  empanadas                                                                                                     	12	21000"
"callao	CANNELE                                                                                                                 	8	15600"
"callao	CANNELE                                                                                                                 	8	15600"
"callao	CANNELE                                                                                                                 	9	17550"
"callao	CANNELE                                                                                                                 	11	21450"
"callao	CANNELE                                                                                                                 	2	3900"
"callao	CARROT CAKE  SIN TACC                                                                                            	7	24150"
"callao	CARROT CAKE  SIN TACC                                                                                            	7	24150"
"callao	CARROT CAKE  SIN TACC                                                                                            	7	24150"
"callao	CARROT CAKE  SIN TACC                                                                                            	2	6900"
"callao	CHEESE CAKE  SIN TACC                                                                                                	7	24150"
"callao	CHEESE CAKE Maracuya                                                                                                    	7	24150"
"callao	CHEESE CAKE Maracuya                                                                                                    	6	20700"
"callao	CHEESE CAKE Maracuya                                                                                                    	8	27600"
"callao	CHEESE CAKE Maracuya                                                                                                    	1	3450"
"callao	Ciabatta                                                                                                                	10	12500"
"callao	Ciabatta                                                                                                                	10	12500"
"callao	Ciabatta                                                                                                                	13	16250"
"callao	Ciabatta                                                                                                                	31	38750"
"callao	Ciabatta                                                                                                                	2	2800"
"callao	COOKIE                                                                                                                  	8	16800"
"callao	COOKIE                                                                                                                  	8	16800"
"callao	COOKIE                                                                                                                  	8	16800"
"callao	COOKIE                                                                                                                  	8	16800"
"callao	COOKIE                                                                                                                  	1	2100"
"callao	cookie pistacho                                                                                                         	4	9400"
"callao	cookie pistacho                                                                                                         	4	9400"
"callao	cookie pistacho                                                                                                         	4	9400"
"callao	cookie pistacho                                                                                                         	7	16450"
"callao	CROISSANT                                                                                                               	133	232750"
"callao	CROISSANT                                                                                                               	133	232750"
"callao	CROISSANT                                                                                                               	122	213500"
"callao	CROISSANT                                                                                                               	156	273000"
"callao	CROISSANT                                                                                                               	39	81900"
"callao	croissant DDL                                                                                                           	14	33600"
"callao	croissant DDL                                                                                                           	14	33600"
"callao	croissant DDL                                                                                                           	11	26400"
"callao	croissant DDL                                                                                                           	8	19200"
"callao	croissant DDL                                                                                                           	4	9600"
"callao	CROISSANT DE ALMENDRAS                                                                                                  	26	70200"
"callao	CROISSANT DE ALMENDRAS                                                                                                  	26	70200"
"callao	CROISSANT DE ALMENDRAS                                                                                                  	27	72900"
"callao	CROISSANT DE ALMENDRAS                                                                                                  	17	45900"
"callao	CROISSANT DE ALMENDRAS                                                                                                  	10	29500"
"callao	CROISSANT DE PISTACHOS                                                                                                  	20	59000"
"callao	CROISSANT DE PISTACHOS                                                                                                  	20	59000"
"callao	CROISSANT DE PISTACHOS                                                                                                  	33	97350"
"callao	CROISSANT DE PISTACHOS                                                                                                  	12	35400"
"callao	CROISSANT DE PISTACHOS                                                                                                  	8	27600"
"callao	croissant frutos rojos                                                                                                  	6	16200"
"callao	croissant frutos rojos                                                                                                  	6	16200"
"callao	croissant frutos rojos                                                                                                  	4	10800"
"callao	croissant frutos rojos                                                                                                  	4	10800"
"callao	Croissant nutela                                                                                                       	26	70200"
"callao	Croissant nutela                                                                                                       	26	70200"
"callao	Croissant nutela                                                                                                       	26	70200"
"callao	Croissant nutela                                                                                                       	24	64800"
"callao	Croissant nutela                                                                                                       	10	34500"
"callao	croissant Pastelera                                                                                                     	21	50400"
"callao	croissant Pastelera                                                                                                     	21	50400"
"callao	croissant Pastelera                                                                                                     	23	55200"
"callao	croissant Pastelera                                                                                                     	18	43200"
"callao	croissant Pastelera                                                                                                     	7	16800"
"callao	CRUMBLE DE MANZANA                                                                                                    	5	17250"
"callao	CRUMBLE DE MANZANA                                                                                                    	5	17250"
"callao	CRUMBLE DE MANZANA                                                                                                    	6	20700"
"callao	CRUMBLE DE MANZANA                                                                                                    	3	10350"
"callao	Danesa                                                                                                                  	7	17150"
"callao	Danesa                                                                                                                  	7	17150"
"callao	Danesa                                                                                                                  	6	14700"
"callao	Danesa                                                                                                                  	6	14700"
"callao	ECLAIR DE CHOCOLATE                                                                                                     	7	22400"
"callao	ECLAIR DE CHOCOLATE                                                                                                     	7	22400"
"callao	ECLAIR DE CHOCOLATE                                                                                                     	7	22400"
"callao	ECLAIR DE CHOCOLATE                                                                                                     	10	32000"
"callao	ECLAIR DE CHOCOLATE                                                                                                     	2	6400"
"callao	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	3	8850"
"callao	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	3	8850"
"callao	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	6	17700"
"callao	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	9	26550"
"callao	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	1	2950"
"callao	ECLAIR DE PISTACHO                                                                                                      	7	24150"
"callao	ECLAIR DE PISTACHO                                                                                                      	7	24150"
"callao	ECLAIR DE PISTACHO                                                                                                      	7	24150"
"callao	ECLAIR DE PISTACHO                                                                                                      	10	34500"
"callao	ECLAIR DE PISTACHO                                                                                                      	2	6900"
"callao	empanada blanquette                                                                                                             	12	21000"
"callao	empanada blanquette                                                                                                             	12	21000"
"callao	empanada blanquette                                                                                                             	12	21000"
"callao	empanada bourguinon	12	21000"
"callao	empanadas bourguignon                                                                                                   	14	24500"
"callao	empanadas bourguignon                                                                                                   	18	31500"
"callao	empanadas parisien                                                                                         	8	14000"
"callao	empanadas parisien                                                                                         	12	21000"
"callao	empanadas parisien                                                                                         	12	21000"
"callao	empanadas ratatouille                                                                                                   	13	22750"
"callao	empanadas ratatouille                                                                                                   	12	21000"
"callao	empanadas ratatouille                                                                                                   	12	21000"
"callao	Gougere                                                                                                                 	12	23400"
"callao	Gougere                                                                                                                 	14	27300"
"callao	Gougere                                                                                                                 	12	23400"
"callao	Gougere                                                                                                                 	10	19500"
"callao	Gougere                                                                                                                 	6	11700"
"callao	INTEGRAL 1KG                                                                                                            	24	82800"
"callao	INTEGRAL 1KG                                                                                                            	24	82800"
"callao	INTEGRAL 1KG                                                                                                            	26	89700"
"callao	INTEGRAL 1KG                                                                                                            	29	100050"
"callao	INTEGRAL 1KG                                                                                                            	9	32400"
"callao	INTEGRAL 500GR                                                                                                          	8	21600"
"callao	INTEGRAL 500GR                                                                                                          	8	21600"
"callao	INTEGRAL 500GR                                                                                                          	8	21600"
"callao	INTEGRAL 500GR                                                                                                          	6	16200"
"callao	INTEGRAL 500GR                                                                                                          	2	5900"
"callao	KOUIGN AMANN                                                                                                            	7	13650"
"callao	KOUIGN AMANN                                                                                                            	7	13650"
"callao	KOUIGN AMANN                                                                                                            	7	13650"
"callao	KOUIGN AMANN                                                                                                            	14	27300"
"callao	KOUIGN AMANN                                                                                                            	3	5850"
"callao	lemon croissant                                                                                                         	6	16200"
"callao	lemon croissant                                                                                                         	6	16200"
"callao	lemon croissant                                                                                                         	4	10800"
"callao	lemon croissant                                                                                                         	4	10800"
"callao	LEMON PIE INDIVIDUAL                                                                                                    	7	24150"
"callao	LEMON PIE INDIVIDUAL                                                                                                    	7	24150"
"callao	LEMON PIE INDIVIDUAL                                                                                                    	8	27600"
"callao	LEMON PIE INDIVIDUAL                                                                                                    	11	37950"
"callao	LEMON PIE INDIVIDUAL                                                                                                    	1	3450"
"callao	Marquise ch sinTACC                                                                                                     	6	20700"
"callao	Marquise ch sinTACC                                                                                                     	3	10350"
"callao	medialuna grasa                                                                                                        	42	44100"
"callao	medialuna grasa                                                                                                        	42	44100"
"callao	medialuna grasa                                                                                                        	42	44100"
"callao	medialuna grasa                                                                                                        	48	50400"
"callao	medialuna grasa                                                                                                        	18	18900"
"callao	medialuna manteca                                                                                                             	235	246750"
"callao	medialuna manteca                                                                                                             	235	246750"
"callao	medialuna manteca                                                                                                             	218	228900"
"callao	medialuna manteca                                                                                                             	245	257250"
"callao	medialuna manteca                                                                                                             	80	96000"
"callao	moño de frutos rojos                                                                                                    	25	67500"
"callao	moño de frutos rojos                                                                                                    	25	67500"
"callao	moño de frutos rojos                                                                                                    	23	62100"
"callao	moño de frutos rojos                                                                                                    	19	51300"
"callao	moño de frutos rojos                                                                                                    	8	23600"
"callao	PALITO PARMIGIANO                                               	7	18900"
"callao	PALITO PARMIGIANO                                               	7	18900"
"callao	PALITO PARMIGIANO                                               	7	18900"
"callao	PALITO PARMIGIANO                                               	6	16200"
"callao	PALITO PARMIGIANO                                               	3	8100"
"callao	PAN DE CHOCOLATE                                                                                                        	25	67500"
"callao	PAN DE CHOCOLATE                                                                                                        	24	64800"
"callao	PAN DE CHOCOLATE                                                                                                        	26	70200"
"callao	PAN DE CHOCOLATE                                                                                                        	22	59400"
"callao	PAN DE CHOCOLATE                                                                                                        	9	24300"
"callao	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	11	32450"
"callao	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	14	41300"
"callao	PAN DULCE 500G	3	36000"
"callao	PAN DULCE 500G	10	120000"
"callao	PAN DULCE 500G	1	12000"
"callao	PAN LACTAL 1 K                                                                                                          	11	41250"
"callao	PAN LACTAL 1 K                                                                                                          	10	37500"
"callao	PAN LACTAL 1 K                                                                                                          	10	37500"
"callao	PAN LACTAL 1 K                                                                                                          	11	41250"
"callao	PAN LACTAL 1 K                                                                                                          	3	11250"
"callao	PAN LACTAL DE SEMILLAS 1 K                                                                                              	7	34300"
"callao	PAN LACTAL DE SEMILLAS 1 K                                                                                              	7	34300"
"callao	PAN LACTAL DE SEMILLAS 1 K                                                                                              	7	34300"
"callao	PAN LACTAL DE SEMILLAS 1 K                                                                                              	9	44100"
"callao	PAN LACTAL DE SEMILLAS 1 K                                                                                              	3	14700"
"callao	pan suizo                                                                                                               	8	21600"
"callao	pan suizo                                                                                                               	7	18900"
"callao	pan suizo                                                                                                               	12	32400"
"callao	pan suizo                                                                                                               	11	29700"
"callao	pan suizo                                                                                                               	4	10800"
"callao	Pan suizo J & Q                                                                                                         	6	17400"
"callao	Pan suizo J & Q                                                                                                         	6	17700"
"callao	Pan suizo J & Q                                                                                                         	6	17700"
"callao	Pan suizo J & Q                                                                                                         	5	14750"
"callao	Pan suizo J & Q                                                                                                         	2	5900"
"callao	Pan suizo ROQUEFORT                                                                                                     	6	17700"
"callao	Pan suizo ROQUEFORT                                                                                                     	6	17700"
"callao	Pan suizo ROQUEFORT                                                                                                     	7	20650"
"callao	Pan suizo ROQUEFORT                                                                                                     	6	17700"
"callao	Pan suizo ROQUEFORT                                                                                                     	3	8850"
"callao	pan vianez baguetin                                                                                                     	11	19250"
"callao	pan vianez baguetin                                                                                                     	11	19250"
"callao	pan vianez baguetin                                                                                                     	9	15750"
"callao	pan vianez baguetin                                                                                                     	8	14000"
"callao	pan vianez baguetin                                                                                                     	3	5250"
"callao	PAVLOVA  FRUTAL 	1	14500"
"callao	PAVLOVA  FRUTAL 	2	29000"
"callao	PAVLOVA  FRUTAL 	1	14500"
"callao	PETIT FOUR                                                                                                              	4	13800"
"callao	PETIT FOUR                                                                                                              	5	17250"
"callao	PETIT FOUR                                                                                                              	2	6900"
"callao	ROLL DE CANELA                                                                                                          	12	29400"
"callao	ROLL DE CANELA                                                                                                          	11	26950"
"callao	ROLL DE CANELA                                                                                                          	12	29400"
"callao	ROLL DE CANELA                                                                                                          	12	29400"
"callao	ROLL DE CANELA                                                                                                          	5	13750"
"callao	ROSCA PARIS BREST GRANDE 	1	14500"
"callao	Scon de queso                                                                                                           	8	15600"
"callao	Scon de queso                                                                                                           	8	15600"
"callao	Scon de queso                                                                                                           	7	13650"
"callao	Scon de queso                                                                                                           	9	17550"
"callao	Scon de queso                                                                                                           	3	5850"
"callao	SEMILLAS 500GR                                                                                                          	7	20650"
"callao	SEMILLAS 500GR                                                                                                          	7	20650"
"callao	SEMILLAS 500GR                                                                                                          	7	20650"
"callao	SEMILLAS 500GR                                                                                                          	6	17700"
"callao	SEMILLAS 500GR                                                                                                          	3	9600"
"callao	SEMILLAS BAGUETTE 330G                                                                                                  	6	10500"
"callao	SEMILLAS BAGUETTE 330G                                                                                                  	6	10500"
"callao	SEMILLAS BAGUETTE 330G                                                                                                  	7	12250"
"callao	SEMILLAS BAGUETTE 330G                                                                                                  	6	10500"
"callao	SEMILLAS BAGUETTE 330G                                                                                                  	3	5400"
"callao	TARTA FRUTAS ESTACION	7	24150"
"callao	TRADITION 1KG                                                                                                           	30	96000"
"callao	TRADITION 1KG                                                                                                           	31	99200"
"callao	TRADITION 1KG                                                                                                           	34	108800"
"callao	TRADITION 1KG                                                                                                           	35	112000"
"callao	TRADITION 1KG                                                                                                           	13	44850"
"callao	TRADITION 500GR                                                                                                         	8	19600"
"callao	TRADITION 500GR                                                                                                         	8	19600"
"callao	TRADITION 500GR                                                                                                         	9	22050"
"callao	TRADITION 500GR                                                                                                         	8	19600"
"callao	TRADITION 500GR                                                                                                         	3	8100"
"callao	TRADITION BAGUETTE 330G                                                                                                 	9	13500"
"callao	TRADITION BAGUETTE 330G                                                                                                 	9	13500"
"callao	TRADITION BAGUETTE 330G                                                                                                 	8	12000"
"callao	TRADITION BAGUETTE 330G                                                                                                 	7	10500"
"callao	TRADITION BAGUETTE 330G                                                                                                 	3	4950"
