sucursal	articulo	cantidad	precio promedio	total
Callao	Bondiola  empanadas                                                                                                     	6	$  3.500,0	$  21.000,0
Madero	Bondiola  empanadas                                                                                                     	28	$  3.900,0	$  109.200,0
Petrona	Bondiola  empanadas                                                                                                     	8	$  3.900,0	$  31.200,0
San Telmo	Bondiola  empanadas                                                                                                     	17	$  3.500,0	$  59.500,0
Callao	empanada blanquette                                                                                                             	8	$  3.500,0	$  28.000,0
Madero	empanada blanquette                                                                                                             	21	$  3.900,0	$  81.900,0
Petrona	empanada blanquette                                                                                                             	7	$  3.900,0	$  27.300,0
San Telmo	empanada blanquette                                                                                                             	11	$  3.500,0	$  38.500,0
Callao	empanadas bourguignon                                                                                                   	17	$  3.500,0	$  59.500,0
Madero	empanadas bourguignon                                                                                                   	42	$  3.900,0	$  163.800,0
Petrona	empanadas bourguignon                                                                                                   	13	$  3.900,0	$  50.700,0
San Telmo	empanadas bourguignon                                                                                                   	34	$  3.500,0	$  119.000,0
Callao	empanadas parisien                                                                                         	12	$  3.500,0	$  42.000,0
Madero	empanadas parisien                                                                                         	7	$  3.900,0	$  27.300,0
Petrona	empanadas parisien                                                                                         	6	$  3.900,0	$  23.400,0
San Telmo	empanadas parisien                                                                                         	9	$  3.500,0	$  31.500,0
Callao	empanadas ratatouille                                                                                                   	3	$  3.500,0	$  10.500,0
Madero	empanadas ratatouille                                                                                                   	14	$  3.900,0	$  54.600,0
Petrona	empanadas ratatouille                                                                                                   	4	$  3.900,0	$  15.600,0
San Telmo	empanadas ratatouille                                                                                                   	11	$  3.500,0	$  38.500,0
Callao	PROMO BONJOUR CROISSANT	63	$  7.544,4444	$  475.300,0
Madero	PROMO BONJOUR CROISSANT	59	$  8.584,7458	$  506.500,0
Petrona	PROMO BONJOUR CROISSANT	63	$  8.579,3651	$  540.500,0
San Telmo	PROMO BONJOUR CROISSANT	73	$  7.593,1507	$  554.300,0
Madero	PROMO BONJOUR CROISSANT X 2	1	$  17.900,0	$  17.900,0
Petrona	PROMO BONJOUR CROISSANT X 2	1	$  17.900,0	$  17.900,0
San Telmo	PROMO BONJOUR CROISSANT X 2	5	$  15.500,0	$  77.500,0
Callao	PROMO BONJOUR MEDIALUNAS	190	$  7.546,3158	$  1.433.800,0
Madero	PROMO BONJOUR MEDIALUNAS	215	$  8.644,1860	$  1.858.500,0
Petrona	PROMO BONJOUR MEDIALUNAS	188	$  8.627,6596	$  1.622.000,0
San Telmo	PROMO BONJOUR MEDIALUNAS	147	$  7.535,3741	$  1.107.700,0
Callao	PROMO BONJOUR MEDIALUNAS X 2	2	$  15.500,0	$  31.000,0
Madero	PROMO BONJOUR MEDIALUNAS X 2	4	$  17.900,0	$  71.600,0
Petrona	PROMO BONJOUR MEDIALUNAS X 2	3	$  17.900,0	$  53.700,0
San Telmo	PROMO BONJOUR MEDIALUNAS X 2	5	$  15.500,0	$  77.500,0
Callao	Ciabatta                                                                                                                	29	$  2.500,0	$  72.500,0
Madero	Ciabatta                                                                                                                	5	$  2.600,0	$  13.000,0
Petrona	Ciabatta                                                                                                                	16	$  2.600,0	$  41.600,0
San Telmo	Ciabatta                                                                                                                	16	$  2.500,0	$  40.000,0
Callao	INTEGRAL 1KG                                                                                                            	46	$  6.900,0	$  317.400,0
Madero	INTEGRAL 1KG                                                                                                            	83	$  6.900,0	$  572.700,0
Petrona	INTEGRAL 1KG                                                                                                            	49	$  6.900,0	$  338.100,0
San Telmo	INTEGRAL 1KG                                                                                                            	75	$  6.900,0	$  517.500,0
Callao	INTEGRAL 500GR                                                                                                          	18	$  5.400,0	$  97.200,0
Madero	INTEGRAL 500GR                                                                                                          	19	$  5.400,0	$  102.600,0
Petrona	INTEGRAL 500GR                                                                                                          	12	$  5.400,0	$  64.800,0
San Telmo	INTEGRAL 500GR                                                                                                          	26	$  5.400,0	$  140.400,0
Callao	PAN LACTAL 1 K                                                                                                          	1	$  7.500,0	$  7.500,0
San Telmo	PAN LACTAL 1 K                                                                                                          	9	$  7.500,0	$  67.500,0
Callao	PAN LACTAL DE SEMILLAS 1 K                                                                                              	1	$  9.800,0	$  9.800,0
San Telmo	PAN LACTAL DE SEMILLAS 1 K                                                                                              	11	$  9.800,0	$  107.800,0
Callao	pan vianez baguetin                                                                                                     	14	$  3.500,0	$  49.000,0
Petrona	pan vianez baguetin                                                                                                     	6	$  3.600,0	$  21.600,0
San Telmo	pan vianez baguetin                                                                                                     	1	$  3.500,0	$  3.500,0
Callao	SEMILLAS 500GR                                                                                                          	22	$  5.900,0	$  129.800,0
Madero	SEMILLAS 500GR                                                                                                          	20	$  5.900,0	$  118.000,0
Petrona	SEMILLAS 500GR                                                                                                          	10	$  5.900,0	$  59.000,0
San Telmo	SEMILLAS 500GR                                                                                                          	21	$  5.900,0	$  123.900,0
Callao	SEMILLAS BAGUETTE 330G                                                                                                  	11	$  3.500,0	$  38.500,0
Madero	SEMILLAS BAGUETTE 330G                                                                                                  	6	$  3.600,0	$  21.600,0
Petrona	SEMILLAS BAGUETTE 330G                                                                                                  	9	$  3.600,0	$  32.400,0
San Telmo	SEMILLAS BAGUETTE 330G                                                                                                  	18	$  3.500,0	$  63.000,0
Madero	TRADICION BAGUETTE 165 GR                                                                                               	1	$  2.050,0	$  2.050,0
Petrona	TRADICION BAGUETTE 165 GR                                                                                               	1	$  2.050,0	$  2.050,0
Callao	TRADITION 1KG                                                                                                           	66	$  6.400,0	$  422.400,0
Madero	TRADITION 1KG                                                                                                           	67	$  6.500,0	$  435.500,0
Petrona	TRADITION 1KG                                                                                                           	35	$  6.500,0	$  227.500,0
San Telmo	TRADITION 1KG                                                                                                           	85	$  6.400,0	$  544.000,0
Callao	TRADITION 500GR                                                                                                         	16	$  4.900,0	$  78.400,0
Madero	TRADITION 500GR                                                                                                         	20	$  4.900,0	$  98.000,0
Petrona	TRADITION 500GR                                                                                                         	13	$  4.900,0	$  63.700,0
San Telmo	TRADITION 500GR                                                                                                         	26	$  4.900,0	$  127.400,0
Callao	TRADITION BAGUETTE 330G                                                                                                 	29	$  3.000,0	$  87.000,0
Madero	TRADITION BAGUETTE 330G                                                                                                 	34	$  3.300,0	$  112.200,0
Petrona	TRADITION BAGUETTE 330G                                                                                                 	19	$  3.300,0	$  62.700,0
San Telmo	TRADITION BAGUETTE 330G                                                                                                 	34	$  3.000,0	$  102.000,0
Callao	Gougere                                                                                                                 	23	$  3.900,0	$  89.700,0
Madero	Gougere                                                                                                                 	43	$  4.100,0	$  176.300,0
Petrona	Gougere                                                                                                                 	43	$  4.100,0	$  176.300,0
San Telmo	Gougere                                                                                                                 	30	$  3.900,0	$  117.000,0
Callao	PALITO PARMIGIANO                                               	17	$  5.488,2353	$  93.300,0
Madero	PALITO PARMIGIANO                                               	22	$  5.627,2727	$  123.800,0
Petrona	PALITO PARMIGIANO                                               	9	$  5.600,0	$  50.400,0
San Telmo	PALITO PARMIGIANO                                               	15	$  5.433,3333	$  81.500,0
Callao	BROWNIE CHOCOLATE Y NUECES                                                                                              	1	$  5.900,0	$  5.900,0
Madero	BROWNIE CHOCOLATE Y NUECES                                                                                              	5	$  5.900,0	$  29.500,0
Petrona	BROWNIE CHOCOLATE Y NUECES                                                                                              	2	$  5.900,0	$  11.800,0
San Telmo	BROWNIE CHOCOLATE Y NUECES                                                                                              	4	$  5.900,0	$  23.600,0
Callao	CANNELE                                                                                                                 	28	$  3.985,7143	$  111.600,0
Madero	CANNELE                                                                                                                 	33	$  4.090,9091	$  135.000,0
Petrona	CANNELE                                                                                                                 	23	$  4.086,9565	$  94.000,0
San Telmo	CANNELE                                                                                                                 	30	$  4.000,0	$  120.000,0
Callao	CARROT CAKE  SIN TACC                                                                                            	9	$  7.122,2222	$  64.100,0
Madero	CARROT CAKE  SIN TACC                                                                                            	28	$  7.964,2857	$  223.000,0
Petrona	CARROT CAKE  SIN TACC                                                                                            	15	$  7.900,0	$  118.500,0
San Telmo	CARROT CAKE  SIN TACC                                                                                            	16	$  7.087,50	$  113.400,0
Callao	CHEESE CAKE  SIN TACC                                                                                                	2	$  6.900,0	$  13.800,0
Madero	CHEESE CAKE  SIN TACC                                                                                                	3	$  7.900,0	$  23.700,0
Petrona	CHEESE CAKE  SIN TACC                                                                                                	1	$  7.900,0	$  7.900,0
San Telmo	CHEESE CAKE  SIN TACC                                                                                                	2	$  6.900,0	$  13.800,0
Callao	CHEESE CAKE Maracuya                                                                                                    	7	$  7.071,4286	$  49.500,0
Madero	CHEESE CAKE Maracuya                                                                                                    	20	$  8.050,0	$  161.000,0
Petrona	CHEESE CAKE Maracuya                                                                                                    	18	$  7.966,6667	$  143.400,0
San Telmo	CHEESE CAKE Maracuya                                                                                                    	17	$  6.900,0	$  117.300,0
Callao	CHIPA DE QUESO ( SIN TACC)	1	$  3.900,0	$  3.900,0
Madero	CHIPA DE QUESO ( SIN TACC)	1	$  4.200,0	$  4.200,0
San Telmo	CHIPA DE QUESO ( SIN TACC)	2	$  3.900,0	$  7.800,0
